"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: заказ можно создать с любыми комбинациями цветов","1227","Создание заказа с комбинацией цветов: []","tests","2025-10-15","passed","2025-10-15","TestOrders","test_orders","",""
"","2271","Успешное создание курьера","tests","2025-10-15","passed","2025-10-15","TestCourierCreation","test_courier_creation","",""
"При неверном пароле — 404 c message","1270","Ошибка при неверном пароле (ожидаем 404)","tests","2025-10-15","passed","2025-10-15","TestCourierLogin","test_courier_login","",""
"","1119","Ошибка при создании курьера без пароля","tests","2025-10-15","passed","2025-10-15","TestCourierCreation","test_courier_creation","",""
"Проверка: курьер может авторизоваться","1220","Успешная авторизация курьера","tests","2025-10-15","passed","2025-10-15","TestCourierLogin","test_courier_login","",""
"
Если отсутствует login или password — 400.
Если отсутствует только firstName — 201 (firstName не обязателен).
","1430","Отсутствие обязательных полей при создании курьера","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"","1287","Ошибка при создании курьера без логина","tests","2025-10-15","passed","2025-10-15","TestCourierCreation","test_courier_creation","",""
"Проверка: возвращается список заказов","8799","Получение списка заказов","tests","2025-10-15","passed","2025-10-15","TestOrders","test_orders","",""
"Проверка: заказ можно создать с любыми комбинациями цветов","1388","Создание заказа с комбинацией цветов: ['BLACK']","tests","2025-10-15","passed","2025-10-15","TestOrders","test_orders","",""
"
Если отсутствует login или password — 400.
Если отсутствует только firstName — 201 (firstName не обязателен).
","1127","Отсутствие обязательных полей при создании курьера","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"Если отсутствует login или password — 400 c message","61140","Ошибка при отсутствии обязательных полей (ожидаем 400)","tests","2025-10-15","failed","2025-10-15","TestCourierLogin","test_courier_login","",""
"","1671","Нельзя создать двух одинаковых курьеров","tests","2025-10-15","passed","2025-10-15","TestCourierCreation","test_courier_creation","",""
"Проверка: заказ можно создать с любыми комбинациями цветов","2247","Создание заказа с комбинацией цветов: ['BLACK', 'GREY']","tests","2025-10-15","passed","2025-10-15","TestOrders","test_orders","",""
"
Если отсутствует login или password — 400.
Если отсутствует только firstName — 201 (firstName не обязателен).
","1120","Отсутствие обязательных полей при создании курьера","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"","1231","Создание курьера без firstName (поле не обязательно)","tests","2025-10-15","passed","2025-10-15","TestCourierCreation","test_courier_creation","",""
"Если отсутствует login или password — 400 c message","4603","Ошибка при отсутствии обязательных полей (ожидаем 400)","tests","2025-10-15","passed","2025-10-15","TestCourierLogin","test_courier_login","",""
"Проверка: заказ можно создать с любыми комбинациями цветов","3780","Создание заказа с комбинацией цветов: ['GREY']","tests","2025-10-15","passed","2025-10-15","TestOrders","test_orders","",""
"Неизвестный логин/пароль — 404 c message","3673","Ошибка при авторизации несуществующего пользователя (ожидаем 404)","tests","2025-10-15","passed","2025-10-15","TestCourierLogin","test_courier_login","",""
